Ano,Mes,Valor_Sujeito,Valor_Isento
"2004","05",2.0000,0.0000
"2004","06",2.0000,0.0000
"2004","07",2.2000,0.0000
"2004","08",2.2000,0.0000
"2004","09",2.2000,0.0000
"2004","10",2.2000,0.0000
"2004","11",2.5000,0.0000
"2004","12",3.0000,0.0000
"2005","01",2.8000,0.0000
"2005","02",2.8000,0.0000
"2005","03",2.8000,0.0000
"2005","04",2.5000,0.0000
"2005","05",2.5000,0.0000
"2005","06",2.5000,0.0000
"2005","07",2.0000,0.0000
"2005","08",2.0000,0.0000
"2005","09",2.2000,0.0000
"2005","10",2.5000,0.0000
"2005","11",2.8000,0.0000
"2005","12",5.0000,0.0000
"2006","01",3.0000,0.0000
"2006","02",2.8000,0.0000
"2006","03",2.8000,0.0000
"2006","04",3.0000,0.0000
"2006","05",3.0000,0.0000
"2006","06",3.0000,0.0000
"2006","07",3.2000,0.0000
"2006","08",3.2000,0.0000
"2006","09",3.2000,0.0000
"2006","10",3.4000,0.0000
"2006","11",3.4000,0.0000
"2006","12",6.5000,0.0000
"2007","01",3.4000,0.0000
"2007","02",3.0000,0.0000
"2007","03",3.0000,0.0000
"2007","04",3.0000,0.0000
"2007","05",3.0000,0.0000
"2007","06",3.0000,0.0000
"2007","07",3.3000,0.0000
