Ano,Mes,IRJur,Teto1,Porc1,Abat1,Teto2,Porc2,Abat2,Teto3,Porc3,Abat3,Teto4,Porc4,Abat4,Teto5,Porc5,Abat5,Teto6,Porc6,Abat6
"1992","02",1.5000,945640.0000,0.0000,0.0000,1843998.0000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1992","03",1.5000,1153960.0000,0.0000,0.0000,2250222.0000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1992","04",1.5000,1382790.0000,0.0000,0.0000,2696441.0000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1992","05",1.5000,1707050.0000,0.0000,0.0000,3328748.0000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1992","06",1.5000,2104280.0000,0.0000,0.0000,4103346.0000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1992","07",1.5000,2546390.0000,0.0000,0.0000,4965461.0000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1992","08",1.5000,3135620.0000,0.0000,0.0000,6114459.0000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1992","09",1.5000,3867160.0000,0.0000,0.0000,7540962.0000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1992","10",1.5000,4852510.0000,0.0000,0.0000,9462395.0000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1992","11",1.5000,6002550.0000,0.0000,0.0000,11704973.0000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1992","12",1.5000,7412550.0000,0.0000,0.0000,14454473.0000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1993","01",1.5000,9597030.0000,0.0000,0.0000,18714209.0000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1993","02",1.5000,12161360.0000,0.0000,0.0000,23714652.0000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1993","03",1.5000,15318450.0000,0.0000,0.0000,29870978.0000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1993","04",1.5000,19506520.0000,0.0000,0.0000,38037714.0000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1993","05",1.5000,25126350.0000,0.0000,0.0000,48996382.0000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1993","06",1.5000,32749680.0000,0.0000,0.0000,63861876.0000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1993","07",1.5000,42790.0000,0.0000,0.0000,83440.5000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1993","08",1.5000,56480.0000,0.0000,0.0000,110136.0000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1993","09",1.5000,75900.0000,0.0000,0.0000,148005.0000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1993","10",1.5000,102590.0000,0.0000,0.0000,200050.5000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1993","11",1.5000,137370.0000,0.0000,0.0000,267871.5000,15.0000,0.0000,999999999.9900,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1993","12",1.5000,187770.0000,0.0000,0.0000,366151.5000,15.0000,0.0000,3379860.0000,26.6000,0.0000,999999999.9900,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1994","01",1.5000,261320.0000,0.0000,0.0000,509574.0000,15.0000,0.0000,4703760.0000,26.6000,0.0000,999999999.9900,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1994","02",1.5000,365060.0000,0.0000,0.0000,711867.0000,15.0000,54759.0000,6571080.0000,26.6000,137404.9400,999999999.9900,35.0000,689324.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1994","03",1.5000,524340.0000,0.0000,0.0000,1022463.0000,15.0000,78651.0000,9438120.0000,26.6000,197356.3300,999999999.9900,35.0000,990085.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1994","04",1.5000,740630.0000,0.0000,0.0000,1444228.5000,15.0000,111094.5000,13331340.0000,26.6000,278765.7300,999999999.9900,35.0000,1398494.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1994","05",1.5000,1068060.0000,0.0000,0.0000,2082717.0000,15.0000,160209.0000,19225080.0000,26.6000,402007.1000,999999999.9900,35.0000,2016764.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1994","06",1.5000,561.8000,0.0000,0.0000,1095.5100,15.0000,84.3700,10112.4000,26.6000,211.4600,999999.9900,35.0000,1060.8200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1994","07",1.5000,591.1000,0.0000,0.0000,1152.6500,15.0000,88.6700,10639.8000,26.6000,222.4800,999999.9900,35.0000,1116.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1994","08",1.5000,620.7000,0.0000,0.0000,1210.3600,15.0000,93.1000,11172.6000,26.6000,233.6300,999999.9900,35.0000,1172.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1994","09",1.5000,630.8000,0.0000,0.0000,1230.0600,15.0000,94.6200,11354.4000,26.6000,237.4300,999999.9900,35.0000,1191.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1994","10",1.5000,642.8000,0.0000,0.0000,1253.4600,15.0000,96.4200,11570.4000,26.6000,241.9400,999999.9900,35.0000,1213.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1994","11",1.5000,661.8000,0.0000,0.0000,1290.5100,15.0000,99.2700,11912.4000,26.6000,249.1000,999999.9900,35.0000,1249.6400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1994","12",1.5000,676.7000,0.0000,0.0000,1319.5700,15.0000,101.5100,12180.6000,26.6000,254.7000,999999.9900,35.0000,1277.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1995","01",1.5000,676.7000,0.0000,0.0000,1319.5700,15.0000,101.5100,12180.6000,26.6000,254.7000,999999.9900,35.0000,1278.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1995","02",1.5000,676.7000,0.0000,0.0000,1319.5700,15.0000,101.5100,12180.6000,26.6000,254.7000,999999.9900,35.0000,1278.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1995","03",1.5000,706.1000,0.0000,0.0000,1376.8400,15.0000,105.9100,12709.2400,26.6000,265.7600,999999.9900,35.0000,1333.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1995","04",1.5000,706.1000,0.0000,0.0000,1376.8400,15.0000,105.9100,12709.2400,26.6000,265.7600,999999.9900,35.0000,1333.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1995","05",1.5000,706.1000,0.0000,0.0000,1376.8400,15.0000,105.9100,12709.2400,26.6000,265.7600,999999.9900,35.0000,1333.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1995","06",1.5000,756.4400,0.0000,0.0000,1475.0100,15.0000,113.4700,13615.4100,26.6000,284.7100,999999.9900,35.0000,1428.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1995","07",1.5000,756.4400,0.0000,0.0000,1475.0100,15.0000,113.4700,13615.4100,26.6000,284.7100,999999.9900,35.0000,1428.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1995","08",1.5000,756.4400,0.0000,0.0000,13615.4100,15.0000,113.4700,13615.4100,26.6000,284.7100,999999.9900,35.0000,1428.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1995","09",1.5000,795.2400,0.0000,0.0000,1550.6800,15.0000,119.2900,14313.8800,26.6000,299.3200,999999.9900,35.0000,1501.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1995","10",1.5000,795.2400,0.0000,0.0000,1550.6800,15.0000,119.2900,14313.8800,26.6000,299.3200,999999.9900,35.0000,1501.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1995","11",1.5000,795.2400,0.0000,0.0000,1550.6800,15.0000,119.2900,14313.8800,26.6000,299.3200,999999.9900,35.0000,1501.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1995","12",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1996","01",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1996","02",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1996","03",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1996","04",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1996","05",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1996","06",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1996","07",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1996","08",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1996","09",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1996","10",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1996","11",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1996","12",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1997","01",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1997","02",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1997","03",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1997","04",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1997","05",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1997","06",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1997","07",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1997","08",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1997","09",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9000,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1997","10",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1997","11",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,25.0000,315.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1997","12",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1998","01",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1998","02",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1998","03",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1998","04",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1998","05",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"1998","06",1.5000,900.0000,0.0000,0.0000,1800.0000,15.0000,135.0000,999999.9900,27.5000,360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
