Banco,Agencia,Descrição
"237","0450-2 ","COLONIAL                      "
"237","0461-8 ","NOSSA SRA DO SABARA           "
"237","0475-8 ","ANHANGABAU                    "
"237","0478-2 ","PAISSANDU                     "
"237","0494-4 ","RUA SANTA CRUZ                "
"237","0495-2 ","AV IBIRAPUERA                 "
"237","0497-9 ","LINS DE VASCONCELOS           "
"237","0498-7 ","PRACA BENEDITO CALIXTO        "
"237","0499-5 ","CAPELA DO SOCORRO             "
"237","0501-0 ","CITY LAPA                     "
"237","0502-9 ","CEASA                         "
"237","0504-5 ","FARIA LIMA                    "
"237","0505-3","PAES DE BARROS                "
"237","0515-0 ","RUA TABATINGUERA              "
"237","0529-0 ","OSASCO SP                     "
"237","0548-7 ","VILA CLEMENTINO               "
"237","0551-7 ","LEBLON URB RJ                 "
"237","0557-6 ","RIBEIRAO PIRES SP             "
"237","0562-2 ","PAMPLONA                      "
"237","0566-5 ","CPO LIMPO PAULISTA SP         "
"237","0593-2 ","VL ENDRES URB GUARULHOS       "
"237","0595-9 ","CAMPINAS SP                   "
"237","0614-9 ","HIGIENOPOLIS                  "
"237","0619-0 ","AV CUPECE                     "
"237","0648-3 ","PRACA PORTUGAL                "
"237","0656-4 ","VILA SONIA                    "
"237","0665-3 ","CENTRO EMPRESARIAL            "
"237","0670-0 ","SAUDE                         "
"237","0895-8 ","TRIANON                       "
"237","1007-3 ","SOROCABA-SP                   "
"237","1074-0 ","TUTOIA                        "
"237","1133-9 ","MARGINAL PINHEIROS            "
"237","1221-1 ","VILA YARA OSASCO              "
"237","1261-0 ","ITAQUAQUECETUBA               "
"237","1262-9 ","MAIRIPORA SP                  "
"237","1328-5 ","BRADESCO                      "
"237","1363-3 ","AV MORUMBI                    "
"237","1441-9 ","BOM RETIRO                    "
"237","1443-5 ","JD BONFIGLIOLI                "
"237","1445-1 ","AV BANDEIRANTES               "
"237","1480-0 ","VL STA CATARINA               "
"237","1613-6 ","UBATUBA SP                    "
"237","1743-4 ","BRADESCO                      "
"237","1764   ","PRIME                         "
"237","1767-1 ","BRADESCO                      "
"237","1773   ","P€A OSWALDO CRUZ              "
"237","1795-7 ","STO ANDRE SP                  "
"237","1838-4 ","PRIME                         "
"237","1998-4 ","CERRO CORA                    "
"237","2003-6 ","NOVA CANTAREIRA               "
"237","2375-2 ","BRADESCO                      "
"237","2377-9 ","ITAIM BIBI                    "
"237","2384-1 ","GRANJA VIANNA                 "
"237","2449-0 ","ALUMINIO SP                   "
"237","2519-4 ","BRADESCO                      "
"237","2574-7 ","BRADESCO                      "
"237","2663   ","BRADESCO                      "
"237","2665-4 ","BRADESCO                      "
"237","2713-8 ","GABRIEL M. SILVA              "
"237","2843-6 ","PRIME SANTOS SP               "
"237","2856-8 ","BRADESCO                      "
"237","2876-2 ","PQUE SAO DOMINGOS             "
"237","2976-9 ","PE. JOAO MANOEL               "
"237","3003-1 ","LARGO SAO BENTO               "
"237","3035-0 ","SILVA BUENO                   "
"237","3057-0 ","PRACA DA REPUBLICA            "
"237","3084-8 ","TABOAO DA SERRA SP            "
"237","3114-3 ","NACIONAL                      "
"237","3130-5 ","MAJOR SERTORIO                "
"237","3233-6 ","SERZEDELO CORREIA RJ          "
"237","3257-3 ","R ANTONIO BARROS              "
"237","3263-8 ","CONGONHAS                     "
"237","3267-0 ","GUILHERME COTCHING            "
"237","3394-4 ","JAGUARA                       "
"237","3554   ","NSA SRA DO O                  "
"275","0409-0 ","PAULISTA                      "
"275","0411-1 ","THEODORO SAMPAIO              "
"275","0413-8 ","ESTADOS UNIDOS                "
"275","0416-2 ","REAL                          "
"275","0501   ","PAULISTA                      "
"275","0555-0 ","REAL                          "
"275","0560-6 ","REAL                          "
"275","0782-0 ","JD BONFIGLIOLI                "
"341","0001   ","ITAU                          "
"341","0019   ","ITAU                          "
"341","0036   ","ITAU                          "
"341","0047   ","ITAU                          "
"341","0048   ","LAPA                          "
"341","0052   ","ITAU                          "
"341","0057   ","BOA VISTA                     "
"341","0064   ","ITAU                          "
"341","0068   ","AUGUSTA                       "
"341","0072   ","PIRATININGA                   "
"341","0077   ","IGUATEMI                      "
"341","0081   ","ANA ROSA"
"341","0150   ","SAO JUDAS TADEU               "
"341","0151   ","RUA TAMANDARE                 "
"341","0161   ","BRIG. LUIZ ANTONIO            "
"341","0167   ","ITAU                          "
"341","0177   ","ITAU                          "
"341","0179   ","ITAU                          "
"341","0184   ","BARRA FUNDA                   "
"341","0188   ","PAMPLONA                      "
"341","0190   ","PARAISO                       "
"341","0191   ","CLELIA                        "
"341","0192   ","BORBA GATO                    "
"341","0194   ","ITAU                          "
"341","0196   ","CIDADE JARDIM                 "
"341","0241   ","LEME - SP                     "
"341","0247   ","LORENA-SP                     "
"341","0251   ","BRIG. LUIZ ANTONIO            "
"341","0252   ","SETE DE ABRIL                 "
"341","0262   ","PAULISTA                      "
"341","0285   ","MARACATINS                    "
"341","0300   ","ITAU                          "
"341","0321   ","ITAU                          "
"341","0350   ","ITAU                          "
"341","0354   ","ITAU                          "
"341","0355   ","SANTANA                       "
"341","0368   ","SANTA CRUZ                    "
"341","0375   ","ITAU                          "
"341","0378   ","ITAU                          "
"341","0384   ","ITAU                          "
"341","0395   ","ITAU                          "
"341","0399   ","ITAU                          "
"341","0429   ","ITAU                          "
"341","0440   ","ITAU                          "
"341","0445   ","IGUATEMI                      "
"341","0452   ","ITAU                          "
"341","0454   ","AROUCHE                       "
"341","0531   ","TAQUARITINGA                  "
"341","0622   ","ITABERABA                     "
"341","0644   ","BOM PASTOR                    "
"341","0713   ","FRANCISCO MATARAZZO           "
"341","0725   ","ITAU                          "
"341","0731   ","PIRACICABA-SP                 "
"341","0734   ","LEOPOLDINA"
"341","0735   ","EST. UNIDOS"
"341","0736   ","ITAU                          "
"341","0740   ","TUTOIA                        "
"341","0741   ","MONCOES                       "
"341","0745   ","ITAU                          "
"341","0754   ","ITAU                          "
"341","0757   ","BR. DE JUNDIAI                "
"341","0758   ","ITAU                          "
"341","0762   ","ITAU                          "
"341","0763   ","ITAU                          "
"341","0775   ","ACLIMACAO                     "
"341","0866   ","PORTAL MORUMBI                "
"341","0885   ","CIDADE VARGAS                 "
"341","1165   ","CENTER NORTE                  "
"341","1572   ","CERRO CORA                    "
"341","1608   ","ITAU                          "
"341","1610   ","ITAU                          "
"341","1620   ","CAMPINAS-SP                   "
"341","1623   ","ITAU                          "
"341","1662   ","ITAU                          "
"341","2001   ","PRIVATE BANK                  "
"341","2552   ","ITAU                          "
"341","2925   ","SÃO ROQUE SP"
"341","2958   ","NACOES UNIDAS                 "
"341","2968   ","RIBEIRAO PRETO SP             "
"341","3005   ","PERSONALITE                   "
"341","3006   ","ITAU                          "
"341","3128   ","BELA VISTA                    "
"341","3741   ","AV PAULISTA"
"341","3744   ","ITAU                          "
"341","3753   ","MORUMBI                       "
"341","3756   ","HIGIENOPOLIS                  "
"341","3757   ","PERSONALITE                   "
"341","3763   ","BR ITAPETININGA               "
"341","3777   ","ITAU                          "
"341","3789   ","ITAU                          "
"341","3799   ","DIADEMA - SP                  "
"341","6196   ","MAYRINK VEIGA                 "
"347","1785-0","SUDAMERIS"
"347","1630-6","SUDAMERIS"
"347","1771-0","SUDAMERIS"
"347","1780-9","SUDAMERIS"
"399","0223   ","BRIG LUIZ ANTONIO             "
"399","0240   ","CENTRO-R. DE JANEIRO          "
"399","0350   ","BAMERINDUS                    "
"399","0409   ","BAMERINDUS                    "
"409","0061   ","UNIBANCO                      "
"409","0120   ","UNIBANCO                      "
"409","0135   ","ALFONSO BOVERO"
"409","0170   ","PARAISO                       "
"409","0248   ","COTIA-SP                      "
"409","0317   ","UNIBANCO                      "
"409","0437   ","UNIBANCO                      "
"409","0472   ","UNIBANCO                      "
"409","0499   ","UNIBANCO                      "
"409","0564   ","IGUATEMI                      "
"409","0591   ","PCA PANAMERICANA              "
"409","0729   ","NOVA FARIA LIMA               "
"409","7099   ","UNIBANCO                      "
"424","0050-7 ","GERAL COM                     "
"424","0183-0 ","SANTO AMARO                   "
"479","001    ","BCO BOSTON                    "
"745","0001   ","CENTRAL                       "
"341","4085","ITAU"
"341","3750","ITAU"
"237","3483-5","BLUMENAU SC"
"409","0041","CATANDUVA SP"
"001","2947-5","B.BRASIL"
"237","1965-8","IGUAPE SP"
"001","0050","CATANDUVA SP"
